fecha,tipo_ingreso,linea,ingreso
2022-01-06,Tarjetas,Línea 2,10575
2022-01-06,Tarjetas,Línea 3,8535
2022-01-06,Tarjetas,Línea 4,630
2022-01-06,Tarjetas,Línea 5,3945
2022-01-06,Tarjetas,Línea 6,1770
2022-01-06,Tarjetas,Línea 7,4410
2022-01-06,Tarjetas,Línea 8,6180
2022-01-06,Tarjetas,Línea 9,3480
2022-01-06,Tarjetas,Línea A,5010
2022-01-06,Tarjetas,Línea B,6210
2022-01-06,Tarjetas,Línea 12,0
2022-01-06,QR/Validación,Línea 1,0
2022-01-06,QR/Validación,Línea 2,0
2022-01-06,QR/Validación,Línea 3,0
2022-01-06,QR/Validación,Línea 4,0
2022-01-06,QR/Validación,Línea 5,0
2022-01-06,QR/Validación,Línea 6,0
2022-01-06,QR/Validación,Línea 7,0
2022-01-06,QR/Validación,Línea 8,0
2022-01-06,QR/Validación,Línea 9,9290
2022-01-06,QR/Validación,Línea A,0
2022-01-06,QR/Validación,Línea B,0
2022-01-06,QR/Validación,Línea 12,0
2022-01-07,Boletos,Línea 1,732900
2022-01-07,Boletos,Línea 2,677100
2022-01-07,Boletos,Línea 3,527935
2022-01-07,Boletos,Línea 4,106975
2022-01-07,Boletos,Línea 5,242275
2022-01-07,Boletos,Línea 6,105275
2022-01-07,Boletos,Línea 7,243175
2022-01-07,Boletos,Línea 8,388975
2022-01-07,Boletos,Línea 9,260625
2022-01-07,Boletos,Línea A,345675
2022-01-07,Boletos,Línea B,518225
2022-01-07,Boletos,Línea 12,0
2022-01-07,Recargas,Línea 1,1110499.7
2022-01-07,Recargas,Línea 2,1237809.4
2022-01-07,Recargas,Línea 3,1165474.4
2022-01-07,Recargas,Línea 4,124881
2022-01-07,Recargas,Línea 5,356099
2022-01-07,Recargas,Línea 6,220548
2022-01-07,Recargas,Línea 7,626057.2
2022-01-07,Recargas,Línea 8,853619.6
2022-01-07,Recargas,Línea 9,643977
2022-01-07,Recargas,Línea A,540477.7
2022-01-07,Recargas,Línea B,845026
2022-01-07,Recargas,Línea 12,0
2022-01-07,Tarjetas,Línea 1,12120
2022-01-07,Tarjetas,Línea 2,11220
2022-01-07,Tarjetas,Línea 3,9390
2022-01-07,Tarjetas,Línea 4,540
2022-01-07,Tarjetas,Línea 5,3975
2022-01-07,Tarjetas,Línea 6,1560
2022-01-07,Tarjetas,Línea 7,4365
2022-01-07,Tarjetas,Línea 8,6240
2022-01-07,Tarjetas,Línea 9,4290
2022-01-07,Tarjetas,Línea A,4365
2022-01-07,Tarjetas,Línea B,6315
2022-01-07,Tarjetas,Línea 12,0
2022-01-07,QR/Validación,Línea 1,0
2022-01-07,QR/Validación,Línea 2,0
2022-01-07,QR/Validación,Línea 3,0
2022-01-07,QR/Validación,Línea 4,0
2022-01-07,QR/Validación,Línea 5,0
2022-01-07,QR/Validación,Línea 6,0
2022-01-07,QR/Validación,Línea 7,0
2022-01-07,QR/Validación,Línea 8,0
2022-01-07,QR/Validación,Línea 9,10585
2022-01-07,QR/Validación,Línea A,0
2022-01-07,QR/Validación,Línea B,0
2022-01-07,QR/Validación,Línea 12,0
2022-01-08,Boletos,Línea 1,762375
2022-01-08,Boletos,Línea 2,713200
2022-01-08,Boletos,Línea 3,496520
2022-01-08,Boletos,Línea 4,108025
2022-01-08,Boletos,Línea 5,230600
2022-01-08,Boletos,Línea 6,92950
2022-01-08,Boletos,Línea 7,224375
2022-01-08,Boletos,Línea 8,375375
2022-01-08,Boletos,Línea 9,243400
2022-01-08,Boletos,Línea A,311675
2022-01-08,Boletos,Línea B,542950
2022-01-08,Boletos,Línea 12,0
2022-01-08,Recargas,Línea 1,1076674
2022-01-08,Recargas,Línea 2,1504529.1
2022-01-08,Recargas,Línea 3,1106523.9
2022-01-08,Recargas,Línea 4,126341
2022-01-08,Recargas,Línea 5,361942.7
2022-01-08,Recargas,Línea 6,188435.3
2022-01-08,Recargas,Línea 7,573380.35
2022-01-08,Recargas,Línea 8,836292.85
2022-01-08,Recargas,Línea 9,576545.5
2022-01-08,Recargas,Línea A,517064.6
2022-01-08,Recargas,Línea B,866349.7
2022-01-08,Recargas,Línea 12,0
2022-01-08,Tarjetas,Línea 1,12000
2022-01-08,Tarjetas,Línea 2,17385
2022-01-08,Tarjetas,Línea 3,10140
2022-01-08,Tarjetas,Línea 4,540
2022-01-08,Tarjetas,Línea 5,4290
2022-01-08,Tarjetas,Línea 6,1485
2022-01-08,Tarjetas,Línea 7,4545
2022-01-08,Tarjetas,Línea 8,6825
2022-01-08,Tarjetas,Línea 9,3435
2022-01-08,Tarjetas,Línea A,4125
2022-01-08,Tarjetas,Línea B,6195
2022-01-08,Tarjetas,Línea 12,0
2022-01-08,QR/Validación,Línea 1,0
2022-01-08,QR/Validación,Línea 2,0
2022-01-08,QR/Validación,Línea 3,0
2022-01-08,QR/Validación,Línea 4,0
2022-01-08,QR/Validación,Línea 5,0
2022-01-08,QR/Validación,Línea 6,0
2022-01-08,QR/Validación,Línea 7,0
2022-01-08,QR/Validación,Línea 8,0
2022-01-08,QR/Validación,Línea 9,8510
2022-01-08,QR/Validación,Línea A,0
2022-01-08,QR/Validación,Línea B,0
2022-01-08,QR/Validación,Línea 12,0
2022-01-09,Boletos,Línea 1,535450
2022-01-09,Boletos,Línea 2,435925
2022-01-09,Boletos,Línea 3,319820
2022-01-09,Boletos,Línea 4,71975
2022-01-09,Boletos,Línea 5,168475
2022-01-09,Boletos,Línea 6,64775
2022-01-09,Boletos,Línea 7,139300
2022-01-09,Boletos,Línea 8,236775
2022-01-09,Boletos,Línea 9,145475
2022-01-09,Boletos,Línea A,224450
2022-01-09,Boletos,Línea B,381325
2022-01-09,Boletos,Línea 12,0
2022-01-09,Recargas,Línea 1,733405.6
2022-01-09,Recargas,Línea 2,753650.1
2022-01-09,Recargas,Línea 3,700479
2022-01-09,Recargas,Línea 4,74422
2022-01-09,Recargas,Línea 5,223703.6
2022-01-09,Recargas,Línea 6,78937
2022-01-09,Recargas,Línea 7,300892.5
2022-01-09,Recargas,Línea 8,516792.8
2022-01-09,Recargas,Línea 9,379919.7
2022-01-09,Recargas,Línea A,360888.7
2022-01-09,Recargas,Línea B,519743
2022-01-09,Recargas,Línea 12,0
2022-01-09,Tarjetas,Línea 1,9195
2022-01-09,Tarjetas,Línea 2,9000
2022-01-09,Tarjetas,Línea 3,7650
2022-01-09,Tarjetas,Línea 4,540
2022-01-09,Tarjetas,Línea 5,2760
2022-01-09,Tarjetas,Línea 6,1020
2022-01-09,Tarjetas,Línea 7,3045
2022-01-09,Tarjetas,Línea 8,4770
2022-01-09,Tarjetas,Línea 9,2985
2022-01-09,Tarjetas,Línea A,2865
2022-01-09,Tarjetas,Línea B,4515
2022-01-09,Tarjetas,Línea 12,0
2022-01-09,QR/Validación,Línea 1,0
2022-01-09,QR/Validación,Línea 2,0
2022-01-09,QR/Validación,Línea 3,0
2022-01-09,QR/Validación,Línea 4,0
2022-01-09,QR/Validación,Línea 5,0
2022-01-09,QR/Validación,Línea 6,0
2022-01-09,QR/Validación,Línea 7,0
2022-01-09,QR/Validación,Línea 8,0
2022-01-09,QR/Validación,Línea 9,4415
2022-01-09,QR/Validación,Línea A,0
2022-01-09,QR/Validación,Línea B,0
2022-01-09,QR/Validación,Línea 12,0
2022-01-10,Boletos,Línea 1,778650
2022-01-10,Boletos,Línea 2,689600
2022-01-10,Boletos,Línea 3,574310
2022-01-10,Boletos,Línea 4,102800
2022-01-10,Boletos,Línea 5,252425
2022-01-10,Boletos,Línea 6,112475
2022-01-10,Boletos,Línea 7,254300
2022-01-10,Boletos,Línea 8,403175
2022-01-10,Boletos,Línea 9,276275
2022-01-10,Boletos,Línea A,363250
2022-01-10,Boletos,Línea B,532925
2022-01-10,Boletos,Línea 12,0
2022-01-10,Recargas,Línea 1,1233318.3
2022-01-10,Recargas,Línea 2,1727334.2
2022-01-10,Recargas,Línea 3,1459821.9
2022-01-10,Recargas,Línea 4,164613
2022-01-10,Recargas,Línea 5,440984.1
2022-01-10,Recargas,Línea 6,288132
2022-01-10,Recargas,Línea 7,760496.5
2022-01-10,Recargas,Línea 8,1019710.2
2022-01-10,Recargas,Línea 9,686593.5
2022-01-10,Recargas,Línea A,674715.8
2022-01-10,Recargas,Línea B,1032565.5
2022-01-10,Recargas,Línea 12,0
2022-01-10,Tarjetas,Línea 1,11610
2022-01-10,Tarjetas,Línea 2,16950
2022-01-10,Tarjetas,Línea 3,11685
2022-01-10,Tarjetas,Línea 4,855
2022-01-10,Tarjetas,Línea 5,3855
2022-01-10,Tarjetas,Línea 6,1635
2022-01-10,Tarjetas,Línea 7,5160
2022-01-10,Tarjetas,Línea 8,6855
2022-01-10,Tarjetas,Línea 9,3780
2022-01-10,Tarjetas,Línea A,5115
2022-01-10,Tarjetas,Línea B,7080
2022-01-10,Tarjetas,Línea 12,0
2022-01-10,QR/Validación,Línea 1,0
2022-01-10,QR/Validación,Línea 2,0
2022-01-10,QR/Validación,Línea 3,0
2022-01-10,QR/Validación,Línea 4,0
2022-01-10,QR/Validación,Línea 5,0
2022-01-10,QR/Validación,Línea 6,0
2022-01-10,QR/Validación,Línea 7,0
2022-01-10,QR/Validación,Línea 8,0
2022-01-10,QR/Validación,Línea 9,9330
2022-01-10,QR/Validación,Línea A,0
2022-01-10,QR/Validación,Línea B,0
2022-01-10,QR/Validación,Línea 12,0
2022-01-11,Boletos,Línea 1,662400
2022-01-11,Boletos,Línea 2,618965
2022-01-11,Boletos,Línea 3,489320
